Affy	ENS	Symbol
211581_x_at	ENSG00000204482	LST1
219666_at	ENSG00000110077	MS4A6A
205214_at	ENSG00000081320	STK17B
210042_s_at	ENSG00000101160	CTSZ
202682_s_at	ENSG00000114316	USP4
203332_s_at	ENSG00000168918	INPP5D
212576_at	ENSG00000102858	MGRN1
200609_s_at	ENSG00000071127	WDR1
221816_s_at	ENSG00000136147	PHF11
219505_at	ENSG00000093072	CECR1
201367_s_at	ENSG00000152518	ZFP36L2
203778_at	ENSG00000109323	MANBA
203028_s_at	ENSG00000051523	CYBA
203320_at	ENSG00000111252	SH2B3
218924_s_at	ENSG00000117151	CTBS
219690_at	ENSG00000126246	IGFLR1
202902_s_at	ENSG00000163131	CTSS
206050_s_at	ENSG00000023191	RNH1
207945_s_at	ENSG00000141551	CSNK1D
203944_x_at	ENSG00000112763	BTN2A1
208012_x_at	ENSG00000135899	SP110
208012_x_at	ENSG00000280755	SP110
202361_at	ENSG00000176986	SEC24C
202086_at	ENSG00000157601	MX1
208686_s_at	ENSG00000204256	BRD2
203281_s_at	ENSG00000182179	MIR5193
37012_at	ENSG00000077549	CAPZB
214181_x_at	ENSG00000204482	LST1
201965_s_at	ENSG00000107290	SETX
202215_s_at	ENSG00000066136	NFYC
210644_s_at	ENSG00000167613	LAIR1
201379_s_at	ENSG00000101150	TPD52L2
209329_x_at	ENSG00000146066	HIGD2A
213446_s_at	ENSG00000140575	IQGAP1
201642_at	ENSG00000159128	IFNGR2
208270_s_at	ENSG00000176393	RNPEP
202625_at	ENSG00000254087	LYN
222017_x_at	ENSG00000077454	LRCH4
209130_at	ENSG00000092531	SNAP23
203882_at	ENSG00000213928	IRF9
41220_at	ENSG00000184640	SEPT9
202164_s_at	ENSG00000155508	CNOT8
201758_at	ENSG00000074319	TSG101
218303_x_at	ENSG00000172086	KRCC1
211366_x_at	ENSG00000137752	CASP1
36030_at	ENSG00000010295	IFFO1
212770_at	ENSG00000140332	TLE3
209141_at	ENSG00000132388	UBE2G1
212507_at	ENSG00000075568	TMEM131
201172_x_at	ENSG00000113732	ATP6V0E1
213535_s_at	ENSG00000103275	UBE2I
202787_s_at	ENSG00000114738	MAPKAPK3
208018_s_at	ENSG00000101336	HCK
203567_s_at	ENSG00000112343	TRIM38
210629_x_at	ENSG00000204482	LST1
218388_at	ENSG00000130313	PGLS
203547_at	ENSG00000010610	CD4
203922_s_at	ENSG00000165168	CYBB
221724_s_at	ENSG00000111729	CLEC4A
219460_s_at	ENSG00000135956	TMEM127
217978_s_at	ENSG00000160714	UBE2Q1
205789_at	ENSG00000158473	CD1D
204220_at	ENSG00000130755	GMFG
208965_s_at	ENSG00000163565	IFI16
202910_s_at	ENSG00000123146	ADGRE5
221058_s_at	ENSG00000217555	CKLF
200833_s_at	ENSG00000127314	RAP1B
217983_s_at	ENSG00000026297	RNASET2
200797_s_at	ENSG00000143384	MCL1
202944_at	ENSG00000198951	NAGA
201850_at	ENSG00000042493	CAPG
207697_x_at	ENSG00000131042	LILRB2
209083_at	ENSG00000102879	CORO1A
209332_s_at	ENSG00000125952	MAX
211672_s_at	ENSG00000250151	ARPC4-TTLL3
202531_at	ENSG00000125347	IRF1
208296_x_at	ENSG00000145779	TNFAIP8
218376_s_at	ENSG00000135596	MICAL1
204425_at	ENSG00000089820	ARHGAP4
202307_s_at	ENSG00000168394	TAP1
211963_s_at	ENSG00000162704	ARPC5
201216_at	ENSG00000089248	ERP29
204563_at	ENSG00000188404	SELL
210113_s_at	ENSG00000091592	NLRP1
222217_s_at	ENSG00000143554	SLC27A3
218008_at	ENSG00000106609	TMEM248
211336_x_at	ENSG00000104972	LILRB1
218052_s_at	ENSG00000105726	ATP13A1
203388_at	ENSG00000141480	ARRB2
201460_at	ENSG00000162889	MAPKAPK2
213708_s_at	ENSG00000108788	MLX
200901_s_at	ENSG00000111752	PHC1
